Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,1,Nishida ,-,O,20,15,2,3,-,10,15,8,11,34,20.59,2,4,2,8,-25,3,2,13,18,5.56,0,0,0,0,-,0,2,12,-16.67,1,0,0,1,100
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,2,Onodera ,-,MB,9,4,2,3,-,-2.5,4,2,3,9,22.22,2,6,5,13,-30.77,3,2,13,18,5.56,1,0,0,1,100,0,1,3,-33.33,2,1,0,3,33.33
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,3,Fukatsu ,-,S,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,4,Miyaura ,-,O,3,2,0,1,-,9.09,2,1,1,4,25,0,1,1,2,-50,1,0,4,5,20,0,0,0,0,-,0,0,0,-,1,0,0,1,100
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,5,Otsuka ,-,OH,1,1,0,0,-,0,1,0,3,4,25,0,0,0,0,-,0,1,0,1,-100,1,0,3,4,25,0,0,1,0,0,0,0,0,-
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,6,Yamauchi ,-,MB,7,4,3,0,-,0,4,3,3,10,10,3,3,7,13,0,0,1,12,13,-7.69,0,0,0,0,-,0,2,3,-66.67,1,1,0,2,0
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,8,Sekita ,-,S,0,0,0,0,-,-4.55,0,0,0,0,-,0,1,5,6,-16.67,0,0,16,16,0,0,0,0,0,-,0,3,10,-30,109,1,2,112,96.43
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,10,Kentaro ,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,12,Ran ,-,OH,15,14,1,0,-,3.7,14,7,10,31,22.58,1,1,5,7,0,0,5,11,16,-31.25,15,4,11,30,36.67,1,1,15,0,6,0,2,8,75
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17 ,25 ,25 ,28 ,12 ,25 ,23 ,20 ,30 ,15 ,ALL,14,Ishikawa ,C,OH,22,21,0,1,-,10.94,21,8,15,44,29.55,0,1,2,3,-33.33,1,6,10,17,-29.41,6,1,11,18,27.78,1,2,17,-5.88,7,0,1,8,87.5
