Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17,25,25,28,12,25,23,20,30,15,ALL,36/107 (34%),71/113 (63%),77,61,8,8,0,61,29,46,136,8,17,27,52,8,18,81,107,32,5,42,79,2,11,76,128,3,5,136
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17,25,25,28,12,25,23,20,30,15,1,3/17 (18%),14/25 (56%),9,7,2,0,0,7,5,10,22,2,4,2,8,0,5,12,17,4,3,1,8,1,4,22,20,0,0,20
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17,25,25,28,12,25,23,20,30,15,2,11/25 (44%),14/23 (61%),17,13,3,1,0,13,8,11,32,3,2,6,11,1,5,19,25,8,1,12,21,0,2,15,30,0,1,31
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17,25,25,28,12,25,23,20,30,15,3,12/24 (50%),13/21 (62%),21,17,2,2,0,17,3,16,36,2,3,13,18,2,3,19,24,5,0,11,16,0,1,18,31,2,4,37
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17,25,25,28,12,25,23,20,30,15,4,7/29 (24%),21/29 (72%),21,16,1,4,0,16,9,9,34,1,8,6,15,4,2,23,29,12,1,10,23,1,3,18,35,0,0,35
2024,1,2024/7/27,C,Preliminary,Paris,France,Japan,Germany,2,3,17,25,25,28,12,25,23,20,30,15,5,3/12 (25%),9/15 (60%),9,8,0,1,0,8,4,0,12,0,0,0,0,1,3,8,12,3,0,8,11,0,1,3,12,1,0,13
2024,1,2024/7/27,C,Preliminary,Paris,France,Germany,Japan,3,2,25,23,20,30,15,17,25,25,28,12,ALL,42/113 (37%),71/107 (66%),83,59,18,6,0,59,15,53,127,18,22,21,61,6,23,84,113,38,8,37,83,0,18,70,110,0,13,123
2024,1,2024/7/27,C,Preliminary,Paris,France,Germany,Japan,3,2,25,23,20,30,15,17,25,25,28,12,1,11/25 (44%),14/17 (82%),18,12,3,3,0,12,4,6,22,3,2,5,10,3,6,16,25,8,0,2,10,0,1,14,19,0,3,22
2024,1,2024/7/27,C,Preliminary,Paris,France,Germany,Japan,3,2,25,23,20,30,15,17,25,25,28,12,2,9/23 (39%),14/25 (56%),14,10,3,1,0,10,7,10,27,3,1,7,11,1,4,18,23,8,1,10,19,0,8,18,23,0,4,27
2024,1,2024/7/27,C,Preliminary,Paris,France,Germany,Japan,3,2,25,23,20,30,15,17,25,25,28,12,3,8/21 (38%),12/24 (50%),15,12,3,0,0,12,2,20,34,3,9,6,18,0,4,17,21,8,2,10,20,0,5,22,29,0,4,33
2024,1,2024/7/27,C,Preliminary,Paris,France,Germany,Japan,3,2,25,23,20,30,15,17,25,25,28,12,4,8/29 (28%),22/29 (76%),25,19,5,1,0,19,2,15,36,5,7,3,15,1,6,22,29,9,4,12,25,0,3,15,31,0,2,33
2024,1,2024/7/27,C,Preliminary,Paris,France,Germany,Japan,3,2,25,23,20,30,15,17,25,25,28,12,5,6/15 (40%),9/12 (75%),11,6,4,1,0,6,0,2,8,4,3,0,7,1,3,11,15,5,1,3,9,0,1,1,8,0,0,8
2024,2,2024/7/27,B,Preliminary,Paris,France,Italy,Brazil,3,1,25,27,18,25,-,23,25,25,21,-,ALL,29/94 (31%),66/95 (69%),63,45,13,5,0,45,9,33,87,13,21,13,47,5,24,64,93,16,3,41,60,17,20,44,23,0,58,81
2024,2,2024/7/27,B,Preliminary,Paris,France,Italy,Brazil,3,1,25,27,18,25,-,23,25,25,21,-,1,9/25 (36%),16/23 (70%),17,13,4,0,0,13,2,6,21,4,5,3,12,0,5,19,24,3,1,8,12,5,5,11,8,0,10,18
2024,2,2024/7/27,B,Preliminary,Paris,France,Italy,Brazil,3,1,25,27,18,25,-,23,25,25,21,-,2,11/26 (42%),16/26 (62%),18,11,5,2,0,11,2,9,22,5,6,2,13,2,4,20,26,8,1,8,17,4,5,10,5,0,17,22
2024,2,2024/7/27,B,Preliminary,Paris,France,Italy,Brazil,3,1,25,27,18,25,-,23,25,25,21,-,3,2/19 (11%),16/24 (67%),10,9,1,0,0,9,4,6,19,1,5,4,10,0,7,13,20,3,1,11,15,1,6,10,3,0,13,16
2024,2,2024/7/27,B,Preliminary,Paris,France,Italy,Brazil,3,1,25,27,18,25,-,23,25,25,21,-,4,7/24 (29%),18/22 (82%),18,12,3,3,0,12,1,12,25,3,5,4,12,3,8,12,23,2,0,14,16,7,4,13,7,0,18,25
2024,2,2024/7/27,B,Preliminary,Paris,France,Brazil,Italy,1,3,23,25,25,21,-,25,27,18,25,-,ALL,29/95 (31%),65/94 (69%),64,56,4,4,0,56,20,24,100,4,20,17,41,4,24,68,96,22,5,41,68,17,20,51,40,0,54,94
