Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player No,Player Name,C,Position,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,SCORING_Efficiency %,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,ATTACK_Efficiency %,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,BLOCK_Efficiency %,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,SERVE_Efficiency %,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,RECEPTION_Efficiency %,DIG_Digs,DIG_Errors,DIG_Total,DIG_Efficiency %,SET_Point,SET_Errors,SET_Attempts,SET_Total,SET_Efficiency %
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,1,Lubian ,-,MB,0,0,0,0,-,-16.67,0,0,1,1,0,0,0,1,1,0,0,1,3,4,-25,0,0,0,0,-,1,1,3,0,0,0,0,0,-
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,3,Cambi ,-,S,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,3,3,0,0,0,0,0,-,2,1,3,33.33,4,0,5,9,44.44
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,6,De Gennaro ,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,9,0,3,12,75,14,6,21,38.1,0,0,16,16,0
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,8,Orro ,-,S,1,0,1,0,-,3.85,0,0,4,4,0,1,0,6,7,14.29,0,0,15,15,0,0,0,1,1,0,6,4,15,13.33,31,0,48,79,39.24
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,9,Bosetti ,-,OH,5,3,2,0,-,0,3,3,5,11,0,2,2,1,5,0,0,0,9,9,0,14,1,9,24,54.17,3,2,5,20,0,0,1,1,0
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,11,Danesi ,C,MB,11,6,4,1,-,18.18,6,0,4,10,60,4,2,8,14,14.29,1,1,18,20,0,0,1,0,1,-100,2,1,3,33.33,0,0,5,5,0
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,17,Sylla ,-,OH,10,9,1,0,-,-2.33,9,6,7,22,13.64,1,3,3,7,-28.57,0,2,12,14,-14.29,10,1,15,26,34.62,6,5,12,8.33,0,0,2,2,0
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,18,Egonu ,-,O,25,21,1,3,-,21.92,21,5,26,52,30.77,1,1,2,4,0,3,3,11,17,0,0,0,0,0,-,7,2,10,50,0,0,2,2,0
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,19,Fahr ,-,MB,4,4,0,0,-,-20,4,3,4,11,9.09,0,5,7,12,-41.67,0,2,5,7,-28.57,0,1,0,1,-100,0,2,2,-100,0,1,1,2,-50
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,21,Omoruyi ,-,OH,1,1,0,0,-,33.33,1,0,1,2,50,0,0,0,0,-,0,0,1,1,0,0,0,1,1,0,0,0,0,-,0,0,0,0,-
2024,1,2024/7/28,C,Preliminary,Paris,France,Italy,Dominican Republic,3,1,25 ,24 ,25 ,25 ,-,19 ,26 ,21 ,18 ,-,ALL,24,Antropova ,-,O,2,2,0,0,-,-9.09,2,1,3,6,16.67,0,2,0,2,-100,0,0,3,3,0,0,0,0,0,-,0,1,1,-100,0,0,0,0,-
