Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,Service points won,Receiver points won,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,1,45501,C,Preliminary,Paris,France,Italy,Dominican Republic,44/98 (45%),55/85 (65%),3,1,25,24,25,25,-,19,26,21,18,-,ALL,61,47,9,5,0,47,20,57,124,9,15,30,54,5,9,84,98,38,4,32,74,44,25,79,35,1,80,116
2024,1,45501,C,Preliminary,Paris,France,Italy,Dominican Republic,13/24 (54%),12/20 (60%),3,1,25,24,25,25,-,19,26,21,18,-,1,14,11,3,0,0,11,3,14,28,3,5,10,18,0,4,20,24,7,1,10,18,6,2,10,1,0,22,23
2024,1,45501,C,Preliminary,Paris,France,Italy,Dominican Republic,11/25 (44%),13/25 (52%),3,1,25,24,25,25,-,19,26,21,18,-,2,13,11,1,1,0,11,7,21,39,1,6,9,16,1,0,24,25,16,1,5,22,17,9,26,21,0,16,37
2024,1,45501,C,Preliminary,Paris,France,Italy,Dominican Republic,10/24 (42%),15/22 (68%),3,1,25,24,25,25,-,19,26,21,18,-,3,19,14,3,2,0,14,5,12,31,3,2,6,11,2,3,19,24,9,0,11,20,8,6,22,4,1,29,34
2024,1,45501,C,Preliminary,Paris,France,Italy,Dominican Republic,10/25 (40%),15/18 (83%),3,1,25,24,25,25,-,19,26,21,18,-,4,15,11,2,2,0,11,5,10,26,2,2,5,9,2,2,21,25,6,2,6,14,13,8,21,9,0,13,22
2024,1,45501,C,Preliminary,Paris,France,Dominican Republic,Italy,30/85 (35%),54/98 (55%),1,3,19,26,21,18,-,25,24,25,25,-,ALL,66,50,13,3,0,50,31,65,146,13,11,24,48,3,12,70,85,31,5,47,83,38,21,78,26,0,103,129
2024,1,45501,C,Preliminary,Paris,France,Dominican Republic,Italy,8/20 (40%),11/24 (46%),1,3,19,26,21,18,-,25,24,25,25,-,1,14,11,2,1,0,11,10,16,37,2,2,7,11,1,2,17,20,11,0,6,17,6,5,14,10,0,13,23
2024,1,45501,C,Preliminary,Paris,France,Dominican Republic,Italy,12/25 (48%),14/25 (56%),1,3,19,26,21,18,-,25,24,25,25,-,2,24,17,6,1,0,17,9,19,45,6,1,8,15,1,3,21,25,7,1,17,25,14,5,28,1,0,44,45
2024,1,45501,C,Preliminary,Paris,France,Dominican Republic,Italy,7/22 (32%),14/24 (58%),1,3,19,26,21,18,-,25,24,25,25,-,3,14,12,2,0,0,12,5,16,33,2,4,6,12,0,2,20,22,11,2,5,18,13,7,21,14,0,15,29
2024,1,45501,C,Preliminary,Paris,France,Dominican Republic,Italy,3/18 (17%),15/25 (60%),1,3,19,26,21,18,-,25,24,25,25,-,4,14,10,3,1,0,10,7,14,31,3,4,3,10,1,5,12,18,2,2,19,23,5,4,15,1,0,31,32
